t,lag,fase
1,108,normal
6,860,normal
10,1623,normal
15,2182,normal
29,1764,caida
34,1764,caida
38,1764,caida
43,1764,caida
47,1764,caida
51,1764,caida
56,1764,caida
61,1764,recuperacion
65,1764,recuperacion
69,1764,recuperacion
74,1764,recuperacion
78,1764,recuperacion
83,1764,recuperacion
87,1764,recuperacion
92,1764,recuperacion
96,1764,recuperacion
100,1764,recuperacion
105,1264,recuperacion
109,1264,recuperacion
114,1264,recuperacion
118,764,recuperacion
122,764,recuperacion
127,397,recuperacion
131,139,recuperacion
136,0,recuperacion
